price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
300000000,2,1,72,60,1,1300,1,2019,1,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
1440000000,4,3,126,180,1,1300,2,2018,0,0,1,0,0,0,0,0,0,0
2600000000,3,3,202,186,2,3500,2,2020,2,0,1,0,0,0,0,0,0,0
470000000,2,1,147,40,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
440000000,2,1,78,42,0,1300,1,2022,1,0,1,0,0,0,0,0,0,0
535000000,2,1,70,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
330000000,2,1,72,60,1,1300,1,2019,0,0,1,0,0,0,0,0,0,0
599000000,2,1,72,45,1,1300,1,2021,1,0,1,0,0,0,0,0,0,0
1650000000,3,2,84,89,1,1300,2,2020,0,0,1,0,0,0,0,0,0,0
7500000000,4,3,340,400,2,5500,2,2022,2,0,1,0,0,0,0,0,0,0
1020000000,2,1,86,50,0,1300,1,2018,1,0,1,0,0,0,0,0,0,0
7900000000,5,3,630,600,1,3500,2,2014,1,0,1,0,0,0,0,0,0,0
3800000000,5,3,220,300,0,3160,2,2018,0,0,1,0,0,0,0,0,0,0
285000000,2,1,66,45,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
835000000,2,1,90,60,1,1300,1,2019,0,0,1,0,0,0,0,0,0,0
780000000,2,1,105,55,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
805000000,4,2,91,112,0,2200,2,2022,1,0,1,0,0,0,0,0,0,0
5000000000,4,4,498,400,2,3500,2,2022,2,0,1,0,0,0,0,0,0,0
125000000,2,1,30,30,0,900,1,2020,0,0,1,0,0,0,0,0,0,0
595000000,2,1,90,45,1,3160,1,2018,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
1650000000,3,2,84,89,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
875000000,2,2,105,56,0,1300,1,2021,0,0,1,0,0,0,0,0,0,0
780000000,3,2,116,85,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
300000000,2,1,84,42,1,1300,1,2020,0,0,1,0,0,0,0,0,0,0
245000000,2,1,84,56,0,3160,1,2018,0,0,1,0,0,0,0,0,0,0
551000000,2,1,70,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
900000000,3,1,81,81,0,1300,1,2018,1,0,1,0,0,0,0,0,0,0
4100000000,4,3,488,250,2,3300,2,2010,2,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
4850000000,3,3,531,222,1,4400,1,2015,2,0,1,0,0,0,0,0,0,0
11000000000,4,4,543,495,2,5500,2,2021,2,0,1,0,0,0,0,0,0,0
4100000000,4,4,180,237,2,4400,3,2021,0,0,1,0,0,0,0,0,0,0
546000000,2,1,60,30,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
810000000,2,1,90,45,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
